food_id,description,moisture_pct,energy_kcal,energy_kj,protein_g,lipids_g,cholesterol_mg,carbohydrate_g,fiber_g,ash_g,calcium_mg,magnesium_mg,manganese_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,re_mcg,rae_mcg,thiamine_mg,riboflavin_mg,pyridoxine_mg,niacin_mg,vitamin_c_mg
A141,Pimento vermelho cru,92.0,26,109,1.0,0.3,0,6.0,2.1,0.7,7,12,0.112,26,0.43,4,211,0.017,0.25,157,2379,157,0.05,0.09,0.291,0.979,127.7
A142,Alho cru,59.0,149,623,6.4,0.5,0,33.1,2.1,1.5,181,25,1.672,153,1.70,17,401,0.299,1.16,0,0,0,0.20,0.11,1.235,0.700,31.2
A143,Gengibre cru,79.0,80,335,1.8,0.8,0,17.8,2.0,0.8,16,43,0.229,34,0.60,13,415,0.226,0.34,0,0,0,0.03,0.03,0.160,0.750,5.0
A144,Cogumelo cru,92.0,22,92,3.1,0.3,0,3.3,1.0,1.3,3,9,0.047,86,0.50,5,318,0.318,0.52,0,0,0,0.08,0.40,0.104,3.607,2.1
A145,Banana madura,75.0,89,372,1.1,0.3,0,22.8,2.6,0.8,5,27,0.270,22,0.26,1,358,0.078,0.15,3,10,10,0.03,0.07,0.367,0.665,8.7
A146,Laranja,87.0,47,197,0.9,0.1,0,11.8,2.4,0.2,40,10,0.025,14,0.10,0,181,0.045,0.07,11,23,23,0.09,0.04,0.060,0.282,53.2
A147,Tangerina,88.0,53,222,0.8,0.3,0,13.3,1.8,0.8,37,12,0.039,20,0.15,2,166,0.042,0.07,34,102,102,0.06,0.04,0.078,0.376,26.7
A148,Limão,89.0,29,121,1.1,0.3,0,9.3,2.8,0.3,26,8,0.030,16,0.60,2,138,0.037,0.06,1,2,2,0.04,0.02,0.046,0.100,53.0
A149,Ananás cru,86.0,50,209,0.5,0.1,0,13.1,1.4,0.3,13,12,0.927,8,0.29,1,109,0.110,0.12,2,6,6,0.08,0.03,0.112,0.500,47.8
A150,Papaia madura,89.0,43,180,0.5,0.3,0,10.8,1.7,0.6,20,21,0.040,10,0.25,8,182,0.045,0.08,47,284,284,0.02,0.03,0.019,0.357,60.9
A151,Manga madura,82.0,60,251,0.8,0.4,0,15.0,1.6,1.8,11,10,0.063,14,0.16,1,168,0.111,0.09,38,279,54,0.03,0.04,0.119,0.669,36.4
A152,Maçã vermelha,86.0,52,218,0.3,0.2,0,13.8,2.4,0.5,6,5,0.035,11,0.12,1,107,0.027,0.04,3,5,5,0.02,0.03,0.041,0.091,4.6
A153,Goiaba branca,81.0,68,285,2.6,1.0,0,14.3,5.4,1.1,18,22,0.150,40,0.26,2,417,0.230,0.23,0,0,0,0.07,0.04,0.110,1.084,228.3
A154,Goiaba vermelha,86.0,54,226,0.8,0.6,0,12.4,5.2,0.2,20,10,0.120,25,0.28,3,284,0.090,0.15,0,0,0,0.05,0.05,0.143,1.200,183.5
A155,Melancia,92.0,30,126,0.6,0.2,0,7.6,0.4,0.6,7,10,0.038,11,0.24,1,112,0.042,0.10,28,59,59,0.03,0.02,0.045,0.178,8.1
A156,Melão amarelo,90.0,34,142,0.8,0.2,0,8.2,0.9,0.8,9,12,0.041,15,0.21,16,267,0.041,0.18,169,338,338,0.04,0.02,0.072,0.734,36.7
A157,Coco seco,47.0,354,1481,3.3,33.5,0,15.2,9.0,1.0,14,32,1.500,113,2.43,20,356,0.435,1.10,0,0,0,0.07,0.02,0.054,0.540,3.3
A158,Coco verde líquido,95.0,19,79,0.7,0.2,0,3.7,1.1,0.4,24,25,0.142,20,0.29,105,250,0.040,0.10,0,0,0,0.03,0.06,0.032,0.080,2.4
A159,Abacate,73.0,160,669,2.0,14.7,0,8.5,6.7,1.8,12,29,0.142,52,0.55,7,485,0.190,0.64,7,22,22,0.07,0.13,0.257,1.738,10.0
A160,Maracujá,83.0,97,406,2.2,0.7,0,23.4,10.4,0.7,12,29,0.080,68,1.60,28,348,0.086,0.10,64,126,126,0.00,0.13,0.100,1.500,30.0
A161,Morango,92.0,32,134,0.7,0.3,0,7.7,2.0,0.4,16,13,0.386,24,0.41,1,153,0.048,0.14,1,2,2,0.02,0.02,0.047,0.386,58.8
A162,Uva preta,81.0,69,289,0.7,0.2,0,18.1,0.9,0.4,10,7,0.071,20,0.36,2,191,0.127,0.07,3,5,5,0.07,0.07,0.086,0.188,10.8
A163,Caju fruto,88.0,46,193,1.0,0.4,0,10.3,0.9,0.3,9,18,0.100,19,0.27,3,162,0.016,0.14,0,0,0,0.02,0.06,0.050,0.400,219.3
A164,Lichias,82.0,66,276,0.8,0.4,0,16.5,1.3,0.3,5,10,0.055,31,0.31,1,171,0.148,0.07,0,0,0,0.01,0.07,0.100,0.603,71.5
A165,Tamarindo,31.0,239,1000,2.8,0.6,0,62.5,5.1,3.1,74,92,0.110,113,2.80,28,628,0.086,0.10,2,6,6,0.43,0.15,0.070,1.938,3.5
A166,Açúcar cristal,0.0,387,1619,0,0,0,99.9,0,0.1,1,0,0.007,0,0.02,1,2,0.007,0.01,0,0,0,0.00,0.02,0.000,0.000,0
A167,Açúcar mascavo,2.0,377,1577,0,0,0,97.3,0,0.7,85,29,0.270,22,1.90,28,346,0.149,0.18,0,0,0,0.01,0.01,0.210,0.200,0
A168,Mel de abelha,17.0,304,1272,0.3,0,0,82.4,0.2,0.3,6,2,0.080,4,0.42,4,52,0.036,0.22,0,0,0,0.00,0.04,0.024,0.121,0.5
A169,Chocolate ao leite,1.0,535,2239,7.7,29.7,23,59.4,3.4,2.2,189,63,0.470,208,2.40,79,372,0.490,2.30,49,195,195,0.10,0.30,0.040,0.700,0
A170,Chocolate preto,1.0,546,2285,4.9,31.3,2,63.0,7.0,0.8,73,228,1.950,308,11.90,20,715,1.760,3.30,2,8,8,0.03,0.08,0.040,1.050,0
A171,Óleo de coco,0.0,862,3607,0,100.0,0,0,0,0,0,0,0.000,0,0.05,0,0,0.000,0.00,0,0,0,0.00,0.00,0.000,0.000,0
A172,Óleo de amendoim,0.0,884,3699,0,100.0,0,0,0,0,0,0,0.000,0,0.01,0,0,0.000,0.00,0,0,0,0.00,0.00,0.000,0.000,0
A173,Óleo de palma,0.0,884,3699,0,100.0,0,0,0,0,0,0,0.000,0,0.01,0,0,0.000,0.00,0,0,0,0.00,0.00,0.000,0.000,0
A174,Óleo de girassol,0.0,884,3699,0,100.0,0,0,0,0,0,0,0.000,0,0.01,0,1,0.000,0.00,0,0,0,0.00,0.00,0.000,0.000,0
A175,Óleo de soja,0.0,884,3699,0,100.0,0,0,0,0,0,0,0.000,0,0.00,0,0,0.000,0.00,0,0,0,0.00,0.00,0.000,0.000,0
A176,Vinho tinto,86.0,85,356,0.1,0,0,2.6,0,0.3,8,12,0.130,23,0.46,4,127,0.014,0.07,0,0,0,0.01,0.03,0.059,0.233,0
A177,Vinho branco,86.0,82,343,0.1,0,0,2.6,0,0.3,9,10,0.100,18,0.27,4,71,0.010,0.07,0,0,0,0.01,0.01,0.022,0.100,0
A178,Cerveja,92.0,43,180,0.5,0,0,3.6,0,0.9,4,7,0.008,14,0.02,4,27,0.005,0.01,0,0,0,0.01,0.04,0.046,0.513,0
A179,Refrigerante tipo cola,90.0,37,155,0,0,0,9.3,0,0.7,2,0,0.001,11,0.02,4,1,0.003,0.02,0,0,0,0.00,0.00,0.000,0.000,0
A180,Sumo de laranja natural,88.0,45,188,0.7,0.2,0,10.4,0.2,0.7,11,11,0.025,17,0.20,1,200,0.040,0.05,10,20,20,0.08,0.03,0.040,0.250,50.0
A181,Sumo de ananás natural,86.0,53,222,0.4,0.1,0,12.9,0.1,0.6,13,13,1.020,9,0.32,2,130,0.090,0.11,2,4,4,0.07,0.03,0.100,0.390,15.4
A182,Chá preto infusão,99.0,1,4,0,0,0,0.3,0,0.7,0,1,0.183,1,0.02,3,21,0.006,0.00,0,0,0,0.00,0.01,0.010,0.000,0
A183,Café infusão,99.0,2,8,0.1,0,0,0,0,0.9,2,3,0.023,3,0.01,2,49,0.002,0.00,0,0,0,0.00,0.07,0.001,0.191,0
A184,Água mineral,100.0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.00,0,0,0.000,0.00,0,0,0,0.00,0.00,0.000,0.000,0
A185,Molho de tomate,73.0,102,427,1.8,7.7,0,9.3,1.5,2.2,16,20,0.150,39,1.20,643,439,0.142,0.26,68,165,165,0.06,0.08,0.143,1.400,15.0
A186,Maionese,15.0,680,2846,1.1,75.0,60,2.7,0,6.2,19,2,0.010,24,0.20,597,20,0.010,0.13,60,200,200,0.01,0.02,0.030,0.070,0
A187,Mostarda preparada,80.0,66,276,3.7,4.0,0,5.3,3.3,7.0,58,36,0.570,78,1.20,1135,138,0.150,0.57,2,6,6,0.13,0.11,0.140,0.810,1.0
A188,Ketchup,69.0,97,406,1.0,0.1,0,25.8,0.3,3.1,18,18,0.120,28,0.57,907,384,0.110,0.22,23,56,56,0.05,0.08,0.140,1.400,15.1
A189,Piri-piri seco,12.0,318,1331,12.0,17.3,0,56.6,27.2,2.1,148,152,2.000,293,7.80,30,2014,0.373,2.48,2100,21840,21840,0.33,0.92,2.450,8.700,76.4
A190,Sal,0.0,0,0,0,0,0,0,0,100.0,24,3,0.040,0,0.33,38758,8,0.030,0.10,0,0,0,0.00,0.00,0.000,0.000,0
A191,Vinagre,94.0,18,75,0,0,0,0.9,0,5.1,6,4,0.250,8,0.20,2,2,0.010,0.01,0,0,0,0.00,0.00,0.000,0.000,0.5
A192,Sopa de legumes,91.0,30,126,1.2,1.2,2,4.5,1.0,1.1,20,8,0.100,30,0.50,387,126,0.040,0.20,85,170,170,0.03,0.04,0.070,0.500,8.0
A193,Caldo de galinha,95.0,17,71,1.4,0.5,2,1.9,0,1.2,7,3,0.010,21,0.30,343,26,0.020,0.10,15,45,45,0.01,0.03,0.020,0.700,0.2
A194,Matapa,79.0,89,372,4.2,6.2,0,6.3,2.8,1.3,180,48,0.450,86,2.40,168,387,0.180,0.68,425,950,425,0.08,0.15,0.180,1.200,45.0
A195,Xima de milho,70.0,112,469,2.4,0.4,0,26.7,1.0,0.5,3,15,0.030,42,0.35,2,52,0.020,0.25,0,0,0,0.04,0.02,0.050,0.500,0
A196,"Feijão nhemba com coco, cozido",65.0,141,590,6.2,7.2,0,14.8,3.5,1.8,35,48,0.480,126,1.78,115,284,0.240,0.85,1,2,2,0.21,0.06,0.090,0.750,2.5
A197,"Amendoim com açúcar, torrado",2.0,544,2276,20.5,37.2,0,38.7,7.2,3.6,65,142,1.350,290,2.10,120,538,0.550,2.45,0,0,0,0.35,0.12,0.280,11.200,0
A198,"Bolo de amendoim, assado",15.0,453,1895,10.8,22.6,48,53.8,3.2,2.8,68,67,0.720,178,1.58,267,268,0.280,1.32,42,162,162,0.18,0.18,0.230,2.850,0.3
A199,Pãozinho,32.0,299,1251,9.4,5.5,0,51.9,2.2,1.2,24,24,0.350,91,2.80,427,113,0.090,0.78,0,0,0,0.42,0.25,0.060,3.800,0
A200,Biscoito de água e sal,3.0,443,1853,9.3,12.9,0,71.3,2.5,3.5,96,21,0.550,107,3.70,698,120,0.140,0.70,0,0,0,0.54,0.38,0.080,5.200,0
