food_name,portion_g,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,calcium_mg,iron_mg,sodium_mg,defaultUnit,units,unitConversions,nutritionPer100g,category,source_pdf,page,notes
Toranja,100,38,0.5,0,9,NULL,20,0.5,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":9.0,""protein"":0.5,""calories"":38}",Frutas,#1food-moz.pdf,7,EP: 90%
Banha E Outras Gorduras Do Animais,100,891,0,99,0,NULL,0,0,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":99.0,""carbs"":0.0,""protein"":0.0,""calories"":891}",Gorduras,#1food-moz.pdf,7,EP: 100%
Manteiga,100,745,0.5,82.5,0,NULL,15,0.2,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":82.5,""carbs"":0.0,""protein"":0.5,""calories"":745}",Gorduras,#1food-moz.pdf,7,EP: 100%
Margarina,100,765,0,85,0,NULL,0,0,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":85.0,""carbs"":0.0,""protein"":0.0,""calories"":765}",Gorduras,#1food-moz.pdf,7,EP: 100%
Óleo Vegetal,100,900,0,100,0,NULL,0,0,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":100.0,""carbs"":0.0,""protein"":0.0,""calories"":900}",Gorduras,#1food-moz.pdf,7,EP: 100%
"Açúcar, Amarelo",100,400,0,0,100,NULL,0,0,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":100.0,""protein"":0.0,""calories"":400}",Doces,#1food-moz.pdf,8,EP: 100%
"Açúcar, Branco",100,389,0.2,0,97,NULL,30,2,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":97.0,""protein"":0.2,""calories"":389}",Doces,#1food-moz.pdf,8,EP: 100%
"Cana De Açúcar, Sumo",100,73,0.3,0,18,NULL,6,2,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":18.0,""protein"":0.3,""calories"":73}",Doces,#1food-moz.pdf,8,EP: 100%
Doce E Jam,100,278,0.4,0,69,NULL,12,0.3,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":69.0,""protein"":0.4,""calories"":278}",Doces,#1food-moz.pdf,8,EP: 100%
Mel,100,306,0.4,0,76,NULL,5,0.4,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":76.0,""protein"":0.4,""calories"":306}",Doces,#1food-moz.pdf,8,EP: 100%
Cerveja,100,35,0.3,0,3,NULL,NULL,NULL,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":3.0,""protein"":0.3,""calories"":35}",Diversos,#1food-moz.pdf,8,EP: 100%
Refresco,100,35,0,0,8.8,NULL,2,0.1,NULL,100g,"[""100g"", ""gramas""]","{""100g"": 100, ""gramas"": 1}","{""fat"":0.0,""carbs"":8.8,""protein"":0.0,""calories"":35}",Diversos,#1food-moz.pdf,8,EP: 100%
